Date,Open,High,Low,Close,Volume,Adj Close
1/11/2017,9124.950195,9195.280273,9107.30957,9186.320312,608800,9186.320312
1/10/2017,9035.740234,9144.400391,9025.080078,9095.070312,560000,9095.070312
1/9/2017,9091.169922,9091.169922,9003.040039,9022.830078,451000,9022.830078
1/6/2017,9052.120117,9145.849609,9014.179688,9104.080078,603900,9104.080078
1/5/2017,9096.830078,9145.719727,9016.009766,9051.759766,584900,9051.759766
1/4/2017,9045.480469,9121.540039,9035.339844,9115.719727,558000,9115.719727
1/3/2017,9081.610352,9170.169922,8980.339844,9023.860352,535200,9023.860352
12/30/2016,9097.139648,9107.150391,9019.410156,9043.900391,386000,9043.900391
12/29/2016,9096.469727,9141.480469,9052.549805,9085.139648,292000,9085.139648
12/28/2016,9198.990234,9237.139648,9084.660156,9088.490234,330100,9088.490234
12/27/2016,9198.5,9241.839844,9196,9199.230469,231000,9199.230469
12/23/2016,9174.799805,9198.089844,9163.160156,9190.639648,268100,9190.639648
12/22/2016,9220.240234,9225.980469,9138.860352,9159.639648,386600,9159.639648
12/21/2016,9276.040039,9286.709961,9228.669922,9229.44043,431900,9229.44043
12/20/2016,9250.910156,9320.19043,9247.629883,9309.669922,445100,9309.669922
12/19/2016,9169.570312,9233.709961,9169.570312,9232.980469,415500,9232.980469
12/16/2016,9270.009766,9286.980469,9159.089844,9167.490234,942200,9167.490234
12/15/2016,9243.089844,9361.169922,9224.009766,9258.860352,690700,9258.860352
12/14/2016,9346.240234,9362.5,9207.849609,9218.360352,631900,9218.360352
12/13/2016,9344.75,9402.410156,9275.55957,9345.849609,683500,9345.849609
12/12/2016,9388.299805,9397.129883,9292.849609,9322.639648,655500,9322.639648
12/9/2016,9443.490234,9490.290039,9379.530273,9407.19043,663500,9407.19043
12/8/2016,9373.650391,9426.719727,9307.150391,9421.080078,581100,9421.080078
12/7/2016,9142.580078,9383.650391,9135.429688,9371.610352,752600,9371.610352
12/6/2016,9084.410156,9144.620117,9046.219727,9140.269531,614500,9140.269531
12/5/2016,9089.280273,9129.700195,9061.5,9081.610352,644500,9081.610352
12/2/2016,9049.019531,9075.820312,9032.240234,9048.959961,164300,9048.959961
12/1/2016,8976.959961,9074.629883,8976.959961,9037.200195,172700,9037.200195
11/30/2016,8918.719727,9042.650391,8906.360352,8981.650391,231900,8981.650391
11/29/2016,8956.19043,8991.610352,8938.429688,8943.580078,141300,8943.580078
11/28/2016,9027.209961,9029.589844,8933.339844,8962.459961,160800,8962.459961
11/25/2016,8999.919922,9044.209961,8999.919922,9044.209961,59000,9044.209961
11/23/2016,8909.219727,9003.669922,8909.099609,9000.040039,113500,9000.040039
11/22/2016,8918.790039,8943.419922,8892.469727,8911.480469,142400,8911.480469
11/21/2016,8869.450195,8907.879883,8868.230469,8897.339844,174600,8897.339844
